campaign_id,campaign_name,channel,start_date,end_date,budget_eur,impressions,clicks,leads_generated,target_segment,target_industry
CMP0001,Industry Focus — Google Ads — Aug 2024,Google Ads,2024-08-25,2024-11-23,17026.32,1359096,48946,2182,Standard,Tech & SaaS
CMP0002,Year-End Drive — LinkedIn Ads — Mar 2026,LinkedIn Ads,2026-03-09,2026-04-08,10883.44,511018,10404,561,Premium,Services B2B
CMP0003,Q1 Acquisition — Meta Ads — Oct 2025,Meta Ads,2025-10-07,2025-11-21,34932.79,3597803,92925,3392,All,All
CMP0004,Brand Awareness — Google Ads — Nov 2024,Google Ads,2024-11-18,2025-01-17,17514.84,1765266,71045,4323,All,Tech & SaaS
CMP0005,Back-to-Business — Google Ads — Sep 2025,Google Ads,2025-09-25,2025-11-09,10156.35,565959,11871,673,Premium,Finance & Assurance
CMP0006,Webinar Series — Meta Ads — Jul 2025,Meta Ads,2025-07-13,2025-08-12,32895.1,4525463,111166,6362,Starter,Tech & SaaS
CMP0007,Q4 Sprint — Email Campaign — Jun 2024,Email Campaign,2024-06-12,2024-06-26,30500.7,21246307,520898,74639,Standard,Tech & SaaS
CMP0008,Spring Push — Email Campaign — Nov 2024,Email Campaign,2024-11-20,2024-12-11,2294.69,2116898,108679,13859,Starter,Santé & Pharma
CMP0009,Brand Awareness — Google Ads — Feb 2025,Google Ads,2025-02-14,2025-05-15,22415.28,1295045,58159,2981,Premium,Finance & Assurance
CMP0010,Back-to-Business — Email Campaign — Mar 2024,Email Campaign,2024-03-29,2024-05-13,9678.26,3265984,168336,26204,All,Services B2B
CMP0011,Back-to-Business — LinkedIn Ads — Nov 2024,LinkedIn Ads,2024-11-06,2025-02-04,6446.16,272189,4423,293,Standard,Education & Formation
CMP0012,Summer Boost — Email Campaign — Mar 2025,Email Campaign,2025-03-22,2025-04-21,26169.28,16876340,898732,154085,Starter,Tech & SaaS
CMP0013,Year-End Drive — Meta Ads — Nov 2025,Meta Ads,2025-11-03,2026-01-02,14114.72,2350197,53491,2083,Premium,Tech & SaaS
CMP0014,Summer Boost — Content/SEO — Jul 2024,Content/SEO,2024-07-15,2024-10-13,4090.28,696970,49451,1458,Starter,All
CMP0015,Q1 Acquisition — Email Campaign — Sep 2024,Email Campaign,2024-09-21,2024-12-20,12626.79,10588391,490831,41415,All,Tech & SaaS
CMP0016,Q1 Acquisition — Google Ads — Feb 2025,Google Ads,2025-02-02,2025-02-16,3049.97,211546,5639,250,Starter,Industrie & Manufacturing
CMP0017,Upsell Drive — Meta Ads — May 2025,Meta Ads,2025-05-12,2025-05-26,2431.84,181911,4204,279,All,Services B2B
CMP0018,Q4 Sprint — LinkedIn Ads — Apr 2025,LinkedIn Ads,2025-04-03,2025-05-18,29126.88,1304661,11730,903,Starter,All
CMP0019,Upsell Drive — LinkedIn Ads — Jun 2024,LinkedIn Ads,2024-06-26,2024-08-25,5204.94,242912,4138,212,Starter,Retail & E-commerce
CMP0020,Spring Push — Events/Webinar — Apr 2025,Events/Webinar,2025-04-03,2025-06-02,15701.09,324127,36905,8888,Standard,Finance & Assurance
CMP0021,Industry Focus — Google Ads — May 2024,Google Ads,2024-05-28,2024-07-12,18654.86,1279893,39698,1984,All,All
CMP0022,Product Launch — Events/Webinar — Sep 2024,Events/Webinar,2024-09-23,2024-10-23,15607.33,172153,22830,5364,Standard,Industrie & Manufacturing
CMP0023,Q1 Acquisition — Content/SEO — Jan 2026,Content/SEO,2026-01-30,2026-03-01,13880.28,3643487,284160,5685,Premium,Retail & E-commerce
CMP0024,Q4 Sprint — Email Campaign — Mar 2026,Email Campaign,2026-03-26,2026-04-25,2216.77,746691,21350,2380,All,All
CMP0025,Retention Push — Events/Webinar — Feb 2025,Events/Webinar,2025-02-23,2025-04-24,32555.44,621557,33423,8036,Premium,Santé & Pharma
CMP0026,Summer Boost — Google Ads — Jul 2024,Google Ads,2024-07-29,2024-08-28,5032.87,419476,17843,1011,All,All
CMP0027,Spring Push — Meta Ads — Jan 2026,Meta Ads,2026-01-08,2026-04-08,21015.67,1584743,34713,1215,All,Industrie & Manufacturing
CMP0028,Upsell Drive — Content/SEO — Jan 2026,Content/SEO,2026-01-26,2026-02-25,13481.7,2558893,130058,8244,All,Retail & E-commerce
CMP0029,Industry Focus — Events/Webinar — Feb 2026,Events/Webinar,2026-02-01,2026-05-02,27654.81,391716,31524,5895,Starter,Tech & SaaS
CMP0030,Q4 Sprint — Content/SEO — May 2024,Content/SEO,2024-05-05,2024-08-03,26142.09,7319575,382673,19040,Starter,Retail & E-commerce
